,Distance [nm],Cruise flight level [100 ft],Duration [Excel],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
1,125,180,0.014888267,2217.538775,6985.247142,44.78503753,1.862730186,2727.566464,7.830878983,0.737943186,0.06505343,0.139077135,0.204130565
2,200,270,0.021579157,3266.10616,10288.23441,67.10848564,2.743529991,4017.308697,10.86854091,1.024297428,0.111601904,0.222756599,0.334358502
3,250,280,0.025887745,3951.668128,12447.7546,78.04484612,3.319406811,4860.549077,11.40794668,1.038939851,0.140696999,0.277572751,0.418269749
4,500,360,0.048263717,6710.894923,21139.31901,115.4885506,5.637148038,8254.394099,15.88910275,1.29671008,0.261395868,0.538126293,0.799522161
5,750,380,0.070496151,9495.032106,29909.35113,153.6309584,7.975830054,11678.89581,18.47105077,1.41648239,0.421904313,0.838256825,1.260161138
6,1000,400,0.09263687,12093.40241,38094.21761,188.8197946,10.15845315,14874.88633,20.73059567,1.534295273,0.624477248,1.176322759,1.800800007
7,1500,400,0.136973139,17672.34756,55667.89482,262.9667494,14.84474574,21737.05028,24.93699601,1.653659523,0.948003533,1.777554557,2.72555809
8,2000,400,0.181384526,23374.2406,73628.85787,340.1379159,19.63440477,28750.30189,29.33908511,1.782926078,1.265928438,2.37526696,3.641195398
9,2500,400,0.225658202,28864.73884,90923.92735,411.5157112,24.24637621,35503.53738,33.39990413,1.888828615,1.586714503,2.972338711,4.559053214
10,3000,400,0.27008281,34826.07069,109702.1227,492.6761079,29.25389321,42835.99786,38.23330603,2.013008728,1.860628692,3.529143945,5.389772636
11,3500,400,0.31435942,40320.81415,127010.5646,564.1444713,33.86951835,49594.59458,42.29968973,2.118884203,2.181091342,4.126013512,6.307104854
12,4000,400,0.358814085,46580.1911,146727.602,649.4141206,39.12730274,57293.58239,47.66781261,2.235798447,2.400067878,4.630759633,7.030827511
13,4500,400,0.403088366,52071.33909,164024.7181,720.8190216,43.73989072,64047.75628,51.72745703,2.341609702,2.721041035,5.228074069,7.949115105
14,5000,400,0.447321468,57892.73624,182362.1191,798.2915292,48.62989443,71208.07291,56.2245853,2.447546364,3.005630722,5.790192113,8.795822835
15,5500,400,0.491606547,63379.02315,199643.9229,869.5959951,53.23842061,77956.16405,60.31188562,2.556706987,3.326631521,6.387413948,9.71404547
16,6000,400,0.535872374,68860.86464,216911.7236,940.8123707,57.84313983,84698.83509,64.39202279,2.665368219,3.647398949,6.984205353,10.6316043
17,6500,400,0.580148971,74345.58281,234188.5859,1012.111389,62.45033397,91445.10596,68.48620579,2.77533415,3.968313975,7.581284356,11.54959833
18,7000,400,0.624432204,79827.08699,251455.324,1083.347746,67.05467722,98187.26651,72.61135123,2.888694645,4.288914746,8.17790153,12.46681628
