,Distance [nm],Cruise flight level [100 ft],Duration [Excel],Duration [hh:mm:ss],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
0,"Default for a busy European airport, year 2015", ,0.01875,00:26:59,742.536,2338.9883999999997,10.965209284210523,0.6237307642105264,913.3193112781954,6.523008,1.2971649578947368,0.0065530212,0.053628536842105265,0.06018155804210527
1,ICAO default, ,0.022847222222222224,00:32:54,816.168,2570.9291999999996,11.281827999999999,0.6855817000000001,1003.8868,8.24628,1.6358716000000002,0.006733632,0.05932370000000001,0.06605733200000001
2,125,180,0.015007285127554424,00:21:36,931.9182551708292,2935.5425037881123,17.531388250233736,0.7828114635784693,1146.2591479492453,3.021782257678643,0.6181754146071857,0.012598515234545209,0.08021162632117002,0.09281014155571522
3,200,270,0.021741875469411646,00:31:18,1356.4486311386372,4272.813188086708,25.704303769505906,1.1394175186252093,1668.4294550348375,4.485260668797148,0.9204076407642127,0.020746905448109268,0.12646337052409845,0.1472102759722077
4,250,280,0.02620549623250497,00:37:44,1647.3803655525244,5189.248151490451,30.111806068122046,1.3837999964960543,2026.2790416014013,5.003804551224269,1.0328631592835271,0.02327589483060289,0.15923961286417082,0.1825155076947737
5,500,320,0.04918202728908332,01:10:49,2946.002057172582,9279.906480093632,47.543313314961374,2.474647240941139,3623.584877916049,7.361387807610741,1.5472047506382296,0.032108435081045175,0.31916909382073544,0.3512775289017806
6,750,360,0.07297011749159664,01:45:04,4124.493311147554,12992.153930114795,62.10952849559617,3.4645752182552694,5073.122013103475,9.790557759849607,2.0771274155833765,0.040695237946354136,0.48460963677092916,0.5253048747172833
7,1000,380,0.09625650516962905,02:18:36,5273.3703049351025,16611.11646054557,76.67563852105276,4.429635391857201,6486.254233231768,12.331604975488434,2.636816259838615,0.053191855033084615,0.670758162912998,0.7239500179460826
8,1500,380,0.14288359596438016,03:25:45,7768.611923951331,24471.127560446694,108.79763928946525,6.5256258033541465,9555.393114233108,16.709607504002555,3.609605463776817,0.07260581020096862,1.0198959017191003,1.0925017119200688
9,2000,380,0.18942973068114308,04:32:46,10483.841487620493,33024.10068600456,144.82837170681165,8.806415817327304,12895.09342462301,20.694099982800687,4.4949817440502375,0.08719374081552736,1.3407398255489775,1.427933566364505
10,2500,380,0.23599858519786376,05:39:50,12914.240729165413,40679.85829687106,175.2300226229856,10.847923046443656,15884.439324104656,25.012619307549095,5.454524015394471,0.10477026318289193,1.685641919706324,1.7904121828892159
11,3000,380,0.28195114129094806,06:46:00,15846.857200060063,49917.6001801892,216.567793182842,13.311304870113618,19491.555132889534,28.993633314980727,6.339012963611793,0.12155798087992394,2.0047204364582814,2.1262784173382054
