,Distance [nm],Cruise flight level [100 ft],Duration [Excel],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
1,125,180,0.014813572,4500.054518,14175.17173,119.8435072,3.78004846,5535.065182,11.90888686,0.136783645,0.077592878,0.2714078,0.349000678
2,200,240,0.021578268,6756.948809,21284.38875,177.6451551,5.675834514,8311.041273,15.80922901,0.177948726,0.130204064,0.439585932,0.569789996
3,250,280,0.02564698,8107.83681,25539.68595,212.4189464,6.81058797,9972.649089,18.48055461,0.211365654,0.167572884,0.554720814,0.722293699
4,500,360,0.046873499,14359.82523,45233.44948,335.5009644,12.06226073,17662.58717,25.01153797,0.251793587,0.362247191,1.138167538,1.500414729
5,750,400,0.06830688,20557.6526,64756.60568,462.3985903,17.26845574,25285.90715,31.44668639,0.27668387,0.627331792,1.926695684,2.554027476
6,1000,400,0.089669755,27034.62454,85159.06729,586.1296477,22.70913896,33252.65531,35.65391484,0.277378781,0.862594621,2.622151723,3.484746344
7,1500,420,0.132439841,39871.37838,125594.8419,848.9836421,33.49200379,49041.85725,46.66479819,0.290586744,1.428912354,4.299315638,5.728227993
8,2000,420,0.175257134,53063.20445,167149.094,1111.295137,44.57304748,65267.71806,55.79798115,0.294234048,1.928868683,5.779105859,7.707974542
9,2500,420,0.217976863,65959.44203,207772.2424,1363.742094,55.40595805,81130.19154,64.98551383,0.295895201,2.442009303,7.296035757,9.73804506
10,3000,420,0.260821631,79268.23561,249694.9422,1626.338253,66.58534995,97499.97389,73.66494067,0.300371498,2.91205799,8.688183162,11.60024115
11,3500,420,0.303542567,92173.26502,290345.7848,1879.001683,77.42555779,113372.934,82.84860573,0.3020595,3.424861305,10.20412419,13.62898549
12,4000,420,0.346411104,105707.7357,332979.3676,2141.685137,88.79442435,130020.8981,90.69725304,0.305851579,3.850530118,11.4652404,15.31577052
13,4500,420,0.389134634,118614.2022,373634.737,2394.279239,99.6363076,145895.7778,99.86603081,0.307511554,4.362605422,12.97898596,17.34159138
14,5000,420,0.431901241,132478.1557,417306.1903,2657.43109,111.2811974,162947.3341,106.5962432,0.31052308,4.727999737,14.06199121,18.78999095
15,5500,420,0.474704685,145452.5369,458175.4913,2911.160575,122.1797737,178906.175,115.7124742,0.312246309,5.236759452,15.56601127,20.80277072
16,6000,420,0.523930199,164924.4223,519511.9304,3266.540872,138.5366772,202856.64,117.6634638,0.320500983,5.301674252,15.76864386,21.07031811
17,6500,420,0.56722737,178009.7163,560730.6063,3522.016511,149.5274347,218951.5326,126.9216558,0.321130615,5.823240842,17.31028095,23.13352179
18,7000,420,0.610534243,191089.8393,601932.9937,3777.319277,160.5148658,235039.9403,136.1996251,0.322007961,6.344486629,18.85102007,25.1955067
19,7500,420,0.653856569,204168.747,643131.553,4032.541562,171.501516,251127.0251,145.5373018,0.324125837,6.864579965,20.38850907,27.25308903
