,Distance [nm],Cruise flight level [100 ft],Duration [Excel],Fuel burn [kg],CO2 [kg],NOx [kg],SOx [kg],H2O [kg],CO [kg],HC [kg],PM non volatile [kg],PM volatile [kg],PM total [kg]
1,125,180,0.014966557,2766.138644,8713.336728,73.36676199,2.323561006,3402.345485,15.15688271,1.624335881,0.031737002,0.185268845,0.217005847
2,200,270,0.021574679,4100.776988,12917.44751,109.7192618,3.444656553,5043.95592,20.15406842,2.220769299,0.052932481,0.298655402,0.351587884
3,250,280,0.025960724,4991.284501,15722.54618,128.8005321,4.192678511,6139.274742,21.26987911,2.327851098,0.065798287,0.374116412,0.439914698
4,500,360,0.047239544,8946.740737,28182.23332,211.1783429,7.515252196,11004.48454,27.10732787,2.952923647,0.134524614,0.767648526,0.90217314
5,750,380,0.068913906,13035.26466,41061.08367,294.4722305,10.94962081,16033.38564,30.26459975,3.349312894,0.215140617,1.218414454,1.433555071
6,1000,400,0.090524161,17038.68518,53671.85832,375.9687108,14.31247414,20957.57944,32.58037261,3.762363503,0.311390055,1.732405131,2.043795186
7,1500,400,0.133805391,25263.52516,79580.10426,541.5748847,21.2213029,31074.06179,37.22937725,4.38554659,0.47944631,2.664529299,3.143975609
8,2000,400,0.177156515,33595.84338,105826.9066,711.4205491,28.22053389,41322.95941,41.99232938,5.029370305,0.648981285,3.602242724,4.251224009
9,2500,400,0.220374027,41726.99765,131440.0426,873.0589756,35.05061816,51324.21662,46.45090282,5.623104438,0.815689404,4.529488675,5.345178079
10,3000,400,0.263672934,50246.18532,158275.4838,1046.559953,42.20682883,61802.86697,52.35600478,6.199510638,0.959925023,5.362552731,6.322477754
11,3500,400,0.306892398,58377.64594,183889.5847,1208.195554,49.03722449,71804.51056,56.8421129,6.794371744,1.126365059,6.288658453,7.415023512
12,4000,400,0.350125845,67068.17416,211264.7486,1385.178751,56.33729829,82493.8708,63.732099,7.310919398,1.249158355,7.032522391,8.281680745
13,4500,400,0.393474497,75222.92817,236952.2237,1547.197785,63.18730629,92524.27524,68.26759358,7.909843029,1.415997096,7.961130735,9.377127831
14,5000,400,0.449370266,86373.7705,272077.3771,1764.270492,72.55399163,106239.7226,78.20085122,8.58857654,1.576979808,8.951105885,10.52808569
15,5500,400,0.493951298,94753.49889,298473.5215,1929.877169,79.59300913,116547.3271,82.97920863,9.207906833,1.74829684,9.907238873,11.65553571
